source_id,journal_name,year,count
S165709033,Current Anthropology,1966,150
S165709033,Current Anthropology,1968,149
S165709033,Current Anthropology,1987,148
S165709033,Current Anthropology,1995,148
S165709033,Current Anthropology,2010,146
S165709033,Current Anthropology,1996,143
S165709033,Current Anthropology,2009,137
S165709033,Current Anthropology,1992,136
S165709033,Current Anthropology,2017,135
S165709033,Current Anthropology,1986,133
S165709033,Current Anthropology,2005,133
S165709033,Current Anthropology,1964,131
S165709033,Current Anthropology,2011,130
S165709033,Current Anthropology,1990,129
S165709033,Current Anthropology,2012,126
S165709033,Current Anthropology,1991,125
S165709033,Current Anthropology,2016,124
S165709033,Current Anthropology,1963,123
S165709033,Current Anthropology,2006,123
S165709033,Current Anthropology,2015,123
S165709033,Current Anthropology,1994,122
S165709033,Current Anthropology,1998,122
S165709033,Current Anthropology,1965,120
S165709033,Current Anthropology,1997,120
S165709033,Current Anthropology,1973,119
S165709033,Current Anthropology,1993,117
S165709033,Current Anthropology,2007,117
S165709033,Current Anthropology,2003,113
S165709033,Current Anthropology,2019,113
S165709033,Current Anthropology,1989,112
S165709033,Current Anthropology,1988,110
S165709033,Current Anthropology,2002,110
S165709033,Current Anthropology,2018,110
S165709033,Current Anthropology,2004,108
S165709033,Current Anthropology,2014,108
S165709033,Current Anthropology,1962,107
S165709033,Current Anthropology,2013,107
S165709033,Current Anthropology,1961,103
S165709033,Current Anthropology,1974,103
S165709033,Current Anthropology,1960,99
S165709033,Current Anthropology,1967,99
S165709033,Current Anthropology,1969,97
S165709033,Current Anthropology,2020,97
S165709033,Current Anthropology,2021,97
S165709033,Current Anthropology,1970,93
S165709033,Current Anthropology,2024,91
S165709033,Current Anthropology,1971,90
S165709033,Current Anthropology,2025,86
S165709033,Current Anthropology,1972,85
S165709033,Current Anthropology,2022,69
S165709033,Current Anthropology,2023,60
S165709033,Current Anthropology,1959,11
S65256140,Journal of the Royal Anthropological Institute (JRAI),1998,267
S65256140,Journal of the Royal Anthropological Institute (JRAI),1999,265
S65256140,Journal of the Royal Anthropological Institute (JRAI),2020,258
S65256140,Journal of the Royal Anthropological Institute (JRAI),2010,248
S65256140,Journal of the Royal Anthropological Institute (JRAI),1995,246
S65256140,Journal of the Royal Anthropological Institute (JRAI),2006,236
S65256140,Journal of the Royal Anthropological Institute (JRAI),1997,235
S65256140,Journal of the Royal Anthropological Institute (JRAI),1996,232
S65256140,Journal of the Royal Anthropological Institute (JRAI),2011,232
S65256140,Journal of the Royal Anthropological Institute (JRAI),2021,232
S65256140,Journal of the Royal Anthropological Institute (JRAI),2009,231
S65256140,Journal of the Royal Anthropological Institute (JRAI),2007,228
S65256140,Journal of the Royal Anthropological Institute (JRAI),2012,220
S65256140,Journal of the Royal Anthropological Institute (JRAI),2022,220
S65256140,Journal of the Royal Anthropological Institute (JRAI),2008,219
S65256140,Journal of the Royal Anthropological Institute (JRAI),2018,215
S65256140,Journal of the Royal Anthropological Institute (JRAI),2019,215
S65256140,Journal of the Royal Anthropological Institute (JRAI),2016,213
S65256140,Journal of the Royal Anthropological Institute (JRAI),2017,210
S65256140,Journal of the Royal Anthropological Institute (JRAI),2013,205
S65256140,Journal of the Royal Anthropological Institute (JRAI),2023,205
S65256140,Journal of the Royal Anthropological Institute (JRAI),2015,201
S65256140,Journal of the Royal Anthropological Institute (JRAI),2014,200
S65256140,Journal of the Royal Anthropological Institute (JRAI),2024,180
S65256140,Journal of the Royal Anthropological Institute (JRAI),2025,107
S65256140,Journal of the Royal Anthropological Institute (JRAI),2003,98
S65256140,Journal of the Royal Anthropological Institute (JRAI),2001,56
S65256140,Journal of the Royal Anthropological Institute (JRAI),2002,54
S65256140,Journal of the Royal Anthropological Institute (JRAI),2005,54
S65256140,Journal of the Royal Anthropological Institute (JRAI),2000,51
S65256140,Journal of the Royal Anthropological Institute (JRAI),2004,51
S65256140,Journal of the Royal Anthropological Institute (JRAI),1911,2
S65256140,Journal of the Royal Anthropological Institute (JRAI),1900,1
S65256140,Journal of the Royal Anthropological Institute (JRAI),1951,1
S65256140,Journal of the Royal Anthropological Institute (JRAI),1992,1
S43131466,Ethnos: Journal of Anthropology,2019,135
S43131466,Ethnos: Journal of Anthropology,2020,85
S43131466,Ethnos: Journal of Anthropology,2012,71
S43131466,Ethnos: Journal of Anthropology,2016,62
S43131466,Ethnos: Journal of Anthropology,2013,58
S43131466,Ethnos: Journal of Anthropology,2021,58
S43131466,Ethnos: Journal of Anthropology,2014,49
S43131466,Ethnos: Journal of Anthropology,2023,48
S43131466,Ethnos: Journal of Anthropology,1937,47
S43131466,Ethnos: Journal of Anthropology,2009,40
S43131466,Ethnos: Journal of Anthropology,2015,40
S43131466,Ethnos: Journal of Anthropology,2018,37
S43131466,Ethnos: Journal of Anthropology,2025,36
S43131466,Ethnos: Journal of Anthropology,2011,35
