word,count,upos,ner
region,378,NOUN;PROPN,GPE;WORK_OF_ART;ORG;LOC
action,376,PROPN;NOUN;X,EVENT;WORK_OF_ART;ORG;LAW
music,376,NOUN;PROPN,WORK_OF_ART
large,375,ADJ,CARDINAL;WORK_OF_ART;ORG
attack,373,NOUN;VERB;PROPN,WORK_OF_ART;EVENT;LAW;PERSON
past,372,NOUN;PROPN;ADJ;ADV,WORK_OF_ART;ORG;DATE;PERSON
strategy,371,NOUN;PROPN,WORK_OF_ART;LAW;EVENT;ORG
fact,371,NOUN;PROPN,WORK_OF_ART;LAW;ORG;EVENT
effort,370,NOUN;PROPN;VERB;X,WORK_OF_ART;EVENT
same,370,ADJ,DATE
child,370,NOUN;PROPN,WORK_OF_ART;ORG;LAW;EVENT
seek,369,VERB,WORK_OF_ART
citizen,369,PROPN;NOUN,WORK_OF_ART;ORG;PERSON;LAW
call,368,VERB;NOUN;PROPN,ORG;WORK_OF_ART
united,368,ADJ;PROPN,GPE;ORG;WORK_OF_ART;EVENT;FAC;LAW
volume,367,NOUN;PROPN;VERB,WORK_OF_ART;EVENT
suggest,366,VERB,
jordan,366,PROPN,GPE;ORG;PERSON;LOC;NORP;WORK_OF_ART;LAW
ed.,366,NOUN;X;PROPN;ADV,ORG;WORK_OF_ART;DATE;GPE
eastern,365,ADJ;PROPN,LOC;WORK_OF_ART;NORP;ORG;GPE;EVENT
consider,364,VERB,WORK_OF_ART
physics,364,NOUN;PROPN,WORK_OF_ART
perception,362,NOUN;PROPN,WORK_OF_ART;LAW
index,362,NOUN;VERB;PROPN,ORG;WORK_OF_ART
local,361,ADJ;NOUN,WORK_OF_ART;ORG
number,359,NOUN;VERB;PROPN,WORK_OF_ART
authority,359,NOUN;PROPN,ORG;WORK_OF_ART
often,358,ADV,
egyptian,357,PROPN;ADJ,NORP;ORG;WORK_OF_ART;EVENT;LOC;LAW
account,355,VERB;NOUN;PROPN,WORK_OF_ART;ORG
crisis,354,PROPN;NOUN,WORK_OF_ART;EVENT;ORG;LAW
model,353,PROPN;NOUN;VERB,PERSON;WORK_OF_ART;LAW;ORG;EVENT
project,352,NOUN;PROPN;VERB,ORG;WORK_OF_ART;EVENT
far,349,ADV;ADJ;X,LOC;WORK_OF_ART
very,349,ADJ;ADV;NOUN,DATE;CARDINAL;WORK_OF_ART
agreement,348,NOUN;PROPN,EVENT;LAW;ORG;WORK_OF_ART
strip,347,PROPN;NOUN;VERB,GPE;WORK_OF_ART;LOC;PERSON
need,347,NOUN;VERB;PROPN,WORK_OF_ART
immigration,347,PROPN;NOUN,WORK_OF_ART;ORG;LAW;EVENT
debate,346,NOUN;PROPN;VERB,WORK_OF_ART;ORG;EVENT
influence,346,NOUN;VERB;PROPN,WORK_OF_ART;LAW
various,346,ADJ,WORK_OF_ART
regional,345,ADJ;NOUN,EVENT;ORG;WORK_OF_ART
post,343,NOUN;ADJ;PROPN;VERB;X,ORG;WORK_OF_ART;EVENT;PERSON
essay,342,NOUN;PROPN,WORK_OF_ART;ORG
david,342,PROPN;X,PERSON;WORK_OF_ART;FAC;EVENT;LOC;GPE;ORG
1993,342,NUM,DATE;WORK_OF_ART
remain,341,VERB;NOUN,WORK_OF_ART;DATE
western,341,ADJ;PROPN,NORP;GPE;ORG;PERSON;WORK_OF_ART;LOC;FAC
access,341,VERB;NOUN;PROPN,WORK_OF_ART;ORG;LAW
academic,339,NOUN;ADJ;PROPN,ORG;WORK_OF_ART;EVENT;FAC
structure,339,VERB;NOUN;ADJ;PROPN;X,ORG;WORK_OF_ART;LAW
rule,338,NOUN;VERB;PROPN,WORK_OF_ART;ORG;LAW
official,337,ADJ;NOUN,WORK_OF_ART;ORG
city,337,NOUN;PROPN,GPE;ORG;FAC;LOC;WORK_OF_ART
library,337,PROPN;NOUN,ORG;WORK_OF_ART;FAC
measure,337,NOUN;VERB,WORK_OF_ART
concern,336,NOUN;VERB;PROPN,ORG;WORK_OF_ART
offer,336,VERB;NOUN;PROPN,PERSON
continue,333,VERB;ADJ,WORK_OF_ART
camp,333,NOUN;PROPN;X,WORK_OF_ART;ORG;FAC;EVENT;PERSON;LOC;GPE
particular,331,ADJ;NOUN,
language,331,NOUN;PROPN;VERB,WORK_OF_ART;ORG;LANGUAGE;NORP
decade,330,NOUN;PROPN,DATE;EVENT;WORK_OF_ART
iraq,330,PROPN,GPE;ORG;EVENT;NORP;WORK_OF_ART;PERSON
threat,329,PROPN;NOUN,WORK_OF_ART;EVENT
less,328,ADJ;ADV;VERB,DATE;WORK_OF_ART;PERCENT;CARDINAL;TIME
classics,328,PROPN;NOUN,WORK_OF_ART
establish,327,VERB;NOUN,LAW
understand,326,VERB,WORK_OF_ART;ORG
value,326,NOUN;PROPN;VERB,WORK_OF_ART
central,325,ADJ;PROPN,ORG;LOC;WORK_OF_ART;NORP;GPE
colonial,325,ADJ;NOUN,WORK_OF_ART;ORG;GPE;LAW;EVENT
prime,324,ADJ;VERB;NOUN;PROPN,ORG
then,323,ADV;ADJ,WORK_OF_ART
thus,323,ADV,
response,322,NOUN;PROPN;VERB,WORK_OF_ART;EVENT
current,322,ADJ;NOUN,WORK_OF_ART;DATE;ORG
area,322,NOUN;PROPN,LAW;LOC;WORK_OF_ART;GPE;ORG
analyze,321,VERB,ORG
2000,321,NUM,DATE;CARDINAL;WORK_OF_ART;PERSON;QUANTITY;FAC;LAW
religion,320,NOUN;PROPN,WORK_OF_ART;ORG;NORP
third,320,ADJ;ADV;NOUN,ORDINAL;WORK_OF_ART;ORG;CARDINAL;FAC;LOC;DATE;EVENT;GPE
october,320,PROPN,EVENT;DATE;WORK_OF_ART;TIME
institution,319,NOUN;PROPN,WORK_OF_ART;ORG
affect,317,VERB;NOUN,WORK_OF_ART
regime,316,NOUN;PROPN,ORG;WORK_OF_ART
help,316,VERB;NOUN,WORK_OF_ART
concept,316,NOUN;PROPN,WORK_OF_ART;ORG;LAW;PERSON
critical,316,ADJ,WORK_OF_ART;DATE;ORG
1994,316,NUM,DATE;WORK_OF_ART;EVENT
information,315,NOUN;PROPN,ORG;EVENT;WORK_OF_ART;LAW
criminology,315,PROPN;NOUN,WORK_OF_ART;LAW;ORG
know,315,VERB,WORK_OF_ART
mathematics,313,NOUN;PROPN,WORK_OF_ART
june,313,PROPN;NOUN,DATE;WORK_OF_ART;PERSON;EVENT;TIME
act,312,NOUN;VERB;PROPN,WORK_OF_ART;LAW
labor,312,NOUN;PROPN;VERB,WORK_OF_ART;ORG;NORP;EVENT;LAW
1995,312,NUM,DATE;EVENT;WORK_OF_ART
space,312,NOUN;PROPN,WORK_OF_ART
live,311,VERB;ADJ;PROPN;NOUN,WORK_OF_ART;PERSON;EVENT
terrorism,311,PROPN;NOUN,ORG;LAW;WORK_OF_ART
turkey,310,PROPN;NOUN,GPE;ORG;WORK_OF_ART;NORP;DATE;LOC
hold,310,VERB;NOUN,
europe,310,PROPN,LOC;WORK_OF_ART;ORG;EVENT;PERSON;NORP;GPE
address,309,VERB;NOUN;PROPN,WORK_OF_ART
significant,308,ADJ,DATE
argument,308,NOUN;PROPN,WORK_OF_ART;LAW
contemporary,307,ADJ;NOUN;PROPN,WORK_OF_ART;ORG;EVENT;GPE
finding,305,NOUN;PROPN,WORK_OF_ART
washington,305,PROPN,GPE;ORG;WORK_OF_ART;LOC;PERSON;NORP;LAW;EVENT;FAC
student,304,NOUN;PROPN,ORG;WORK_OF_ART
