author_id,author_name,journal_id,journal_name,specific_works,total_works
A5060510081,David Cesarani,S452692,Holocaust and Genocide Studies (HGS),0,2
A5060510081,David Cesarani,S96629499,Ethnic and Racial Studies,2,3
A5060529812,Bakir Abu Kishk,S88529193,Journal of Palestine Studies,2,2
A5060541841,Tali Kristal,S157620343,American Sociological Review (ASR),0,3
A5060541841,Tali Kristal,S96629499,Ethnic and Racial Studies,1,1
A5060593123,John A. Hall,S122471516,American Journal of Sociology (AJS),0,11
A5060593123,John A. Hall,S173252385,The British Journal of Sociology (BJS),0,17
A5060593123,John A. Hall,S176007004,American Political Science Review (APSR),0,1
A5060593123,John A. Hall,S65256140,Journal of the Royal Anthropological Institute (JRAI),0,2
A5060593123,John A. Hall,S83938913,New Left Review,0,1
A5060593123,John A. Hall,S96629499,Ethnic and Racial Studies,1,2
A5060593123,John A. Hall,S97919111,Thesis Eleven: Critical Theory and Historical Sociology,0,3
A5060631091,R. Scott Kennedy,S88529193,Journal of Palestine Studies,1,2
A5060641512,Merav Kaddar,S96629499,Ethnic and Racial Studies,1,1
A5060710210,Brice Harris,S184885884,Middle East Journal,1,1
A5060771646,Birgitte Refslund Sørensen,S165709033,Current Anthropology,0,1
A5060771646,Birgitte Refslund Sørensen,S43131466,Ethnos: Journal of Anthropology,1,3
A5060790733,M. G. Carter,S199726014,British Journal of Middle Eastern Studies (BRISMES),1,1
A5060829394,Sallie Westwood,S77333486,"Theory, culture, and society",0,1
A5060829394,Sallie Westwood,S96629499,Ethnic and Racial Studies,1,4
A5060847613,Sami Hermez,S102499938,American Anthropologist,0,1
A5060847613,Sami Hermez,S22506700,Cultural Anthropology,0,1
A5060847613,Sami Hermez,S65256140,Journal of the Royal Anthropological Institute (JRAI),0,1
A5060847613,Sami Hermez,S87435064,International Journal of Middle East Studies (IJMES),0,1
A5060847613,Sami Hermez,S94209876,Middle East Critique,1,1
A5060870157,Ilil Naveh-Benjamin,S81071032,Group Processes & Intergroup Relations (GPIR),1,1
A5060881700,A.J. Forey,S199726014,British Journal of Middle Eastern Studies (BRISMES),1,1
A5060893728,"W. T. Mallison, Jr.",S88529193,Journal of Palestine Studies,1,3
A5060930356,Claudia Liebelt,S149872823,Journal of Ethnic and Migration Studies (JEMS),0,1
A5060930356,Claudia Liebelt,S43131466,Ethnos: Journal of Anthropology,1,1
A5060951154,Allon J. Uhlmann,S102499938,American Anthropologist,0,1
A5060951154,Allon J. Uhlmann,S173252385,The British Journal of Sociology (BJS),0,2
A5060951154,Allon J. Uhlmann,S65256140,Journal of the Royal Anthropological Institute (JRAI),0,1
A5060951154,Allon J. Uhlmann,S87435064,International Journal of Middle East Studies (IJMES),2,2
A5060951154,Allon J. Uhlmann,S94209876,Middle East Critique,1,1
